token,logit,context
happy,4.5,"I am feeling"
excited,4.1,"I am feeling"
joyful,3.7,"I am feeling"
content,3.3,"I am feeling"
relaxed,3.0,"I am feeling"
calm,2.7,"I am feeling"
peaceful,2.4,"I am feeling"
confident,2.1,"I am feeling"
hopeful,1.8,"I am feeling"
grateful,1.5,"I am feeling"
neutral,1.2,"I am feeling"
tired,0.9,"I am feeling"
bored,0.6,"I am feeling"
confused,0.3,"I am feeling"
worried,0.0,"I am feeling"
anxious,-0.3,"I am feeling"
sad,-0.6,"I am feeling"
frustrated,-0.9,"I am feeling"
angry,-1.2,"I am feeling"
depressed,-1.5,"I am feeling"

